2592.522, 831.73737, 82.78772, Pentagram
2574.5566, 822.69525, 79.252045, #1
2513.2776, 761.769, 74.03928, #2
2548.3577, 824.19183, 75.98073, #3
2576.732, 768.43225, 80.759766, #4
2502.606, 819.36633, 71.95945, #5
2576.8213, 769.7717, 81.65801, LJ & SM Initials
2575.2358, 769.42786, 81.26383, Fort Brennand Clue
2464.8206, 295.26337, 71.01405, #6
2444.2632, 304.52988, 72.23349, #7
2444.094, 304.75043, 72.34563, Cornwall Kerosene Clue
338.32166, 553.79034, 116.280495, jklm_7_10_scratchin
1452.3672, -628.6758, 68.0609, spiderdream01x (5-6 AM)
820.30194, 732.1253, 118.44485, spiderdream02x (5-6 AM)
337.88306, 554.62244, 121.864624, spiderdream03x (3-4 AM)
1519.0905, 367.19415, 98.14622, spiderdream04x (4-5 AM)
1490.705, 624.04517, 97.39871, spiderdream05x (2-3 AM)
992.2712, -899.5447, 76.62755, spiderdream06x (2-3 AM)
1051.8208, -1040.1936, 77.01805, spiderdream07x (4-5 AM)
2879.5103, -1050.65, 50.452686, spiderdream08x (3-4 AM)
1281.6282, -131.65643, 99.363174, Central Web (1-2 AM)
1270.0339, 761.0447, 96.31998, jklm_11_14_rds_me2
1089.4167, 789.71405, 109.88759, jklm_11_14_rds_me3
323.48364, 1512.0388, 194.6873, Bird Carvings
